,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,ZONA
1482,00-02-0049-46,01-403,GUATEMALA,CIUDAD CAPITAL,"INSTITUTO PRIVADO MIXTO TECNOLOGICO EXPERIMENTAL VOCACIONAL ""FEDERICO TAYLOR""",7A. AVENIDA 4-38,25036767,CARLOS HUMBERTO GONZALEZ DE LEON,VICTOR MANUEL ESTRADA MARROQUIN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE,ZONA 2
1483,00-02-0050-46,01-301,GUATEMALA,CIUDAD CAPITAL,COLEGIO MARIANO DE SAN JOSE DE LA MONTANA,9A. AVENIDA 1-66 ZONA 2,22211889,ERICK ESTUARDO SANCHEZ ARCHILA,GUILLERMINA MUNGUIA GUZMAN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 2
1484,00-02-0091-46,01-301,GUATEMALA,CIUDAD CAPITAL,COLEGIO DE SENORITAS SANTA INES,7A. AVENIDA 7-71,22541047,ERICK ESTUARDO SANCHEZ ARCHILA,DORCAS SEPHORA MAS GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 2
1485,00-02-0092-46,01-301,GUATEMALA,CIUDAD CAPITAL,COLEGIO DE SENORITAS SANTA INES,7A. AVENIDA 7-71,22541047,ERICK ESTUARDO SANCHEZ ARCHILA,DORCAS SEPHORA MAS GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 2
1486,00-02-0094-46,01-301,GUATEMALA,CIUDAD CAPITAL,"COLEGIO EVANGELICO MIXTO ""LA PATRIA""",7A. AVE. 7-38,22541037,ERICK ESTUARDO SANCHEZ ARCHILA,ERIKA MARIA OLIVA CITAN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 2
1487,00-02-0102-46,01-301,GUATEMALA,CIUDAD CAPITAL,COLEGIO EL NUEVO MANANTIAL,"11 AV. 9-58, CIUDAD NUEVA",22894901,ERICK ESTUARDO SANCHEZ ARCHILA,ETELVINA CARRILLO ALVAREZ DE XUYA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 2
1488,00-02-0104-46,01-301,GUATEMALA,CIUDAD CAPITAL,COLEGIO SANTA SOFIA DE JESUS,"7A. AVENIDA ""A"" 7-60",22541111,ERICK ESTUARDO SANCHEZ ARCHILA,YESINIA ESMERALDA SARAVIA CRUZ DE MEDINA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 2
1489,00-02-0106-46,01-301,GUATEMALA,CIUDAD CAPITAL,CENTRO EDUCATIVO ESPERANZA JUVENIL,"12 AVENIDA 16-32, CIUDAD NUEVA",22549911,ERICK ESTUARDO SANCHEZ ARCHILA,MAYRA ELIZABETH LOPEZ DE LEON DE CRUZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 2
1490,00-02-0111-46,01-618,GUATEMALA,CIUDAD CAPITAL,"PROGRAMA NACIONAL DE EDUCACION ALTERNATIVA, PRONEA",AVENIDA SIMEON CANAS 3-37 ZONA 2,30109472,ROSA GEORGINA RIOS CASTILLO,,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,GUATEMALA NORTE,ZONA 2
1491,00-02-0115-46,01-001,GUATEMALA,CIUDAD CAPITAL,INSTITUTO PRACTICO MODERNO,7A. AVENIDA 1-92,22067425,SANDRA LIZZETH CRUZ IZAGUIRRE,THELMA ONDINA VASQUEZ REYES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE,ZONA 2
1492,00-02-0116-46,01-618,GUATEMALA,CIUDAD CAPITAL,PROGRAMA MODALIDADES FLEXIBLES,AVENIDA SIMEON CANAS 3-37,30109472,ROSA GEORGINA RIOS CASTILLO,ROSA GEORGINA RIOS CASTILLO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 2
1493,00-02-0117-46,01-618,GUATEMALA,CIUDAD CAPITAL,CENTRO DE EDUCACION EXTRAESCOLAR - CEEX,12 AVENIDA 9-26 CIUDAD NUEVA,47655740,ROSA GEORGINA RIOS CASTILLO,DIANA LUCRECIA MESIAS ORTIZ DE ROLDAN,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE,ZONA 2
1494,00-02-0197-46,01-301,GUATEMALA,CIUDAD CAPITAL,"INSTITUTO PRIVADO MIXTO TECNOLOGICO EXPERIMENTAL "" FEDERICO TAYLOR""",7A AVE. 4-38,25036767,ERICK ESTUARDO SANCHEZ ARCHILA,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 2
1495,00-02-0313-46,01-308,GUATEMALA,CIUDAD CAPITAL,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA PRACTICO MODERNO,7A AVE. 1-92,22320691,LEONEL AMILCAR RIOS FUENTES,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 2
1496,00-02-0314-46,01-301,GUATEMALA,CIUDAD CAPITAL,INSTITUTO DE ESTUDIOS COMERCIALES Y ADMINISTRATIVOS -IECA-,3A AVE. 9-00 INTERIOR FINCA EL ZAPOTE,24111800,ERICK ESTUARDO SANCHEZ ARCHILA,ADOLFO ROBERTO BARRIOS ESCOBAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 2
1497,00-02-0315-46,01-301,GUATEMALA,CIUDAD CAPITAL,"COLEGIO EVANGELICO MIXTO ""LA PATRIA""",7A AVE. 7-38,22541037,ERICK ESTUARDO SANCHEZ ARCHILA,ERIKA MARIA OLIVA CITAN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 2
1498,00-02-0317-46,01-301,GUATEMALA,CIUDAD CAPITAL,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA CULTURAL AMERICANO,7A AVENIDA 4-11,22320426,ERICK ESTUARDO SANCHEZ ARCHILA,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 2
1499,00-02-0318-46,01-301,GUATEMALA,CIUDAD CAPITAL,CENTRO DE ESTUDIOS DIVERSIFICADOS -CED-,3A AVE 9-00 INTERIOR FINCA EL ZAPOTE,24111800,ERICK ESTUARDO SANCHEZ ARCHILA,LEOPOLDO COLOM MOLINA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 2
1500,00-02-0321-46,01-301,GUATEMALA,CIUDAD CAPITAL,COLEGIO 'VANGUARDIA JUVENIL',11 AVENIDA 5-27,22541748,ERICK ESTUARDO SANCHEZ ARCHILA,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 2
1501,00-02-3051-46,,GUATEMALA,CIUDAD CAPITAL,COLEGIO 'DANIEL DEFOE',11 AVENIDA 13-19,22511594,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 2
1502,00-02-7035-46,01-,GUATEMALA,CIUDAD CAPITAL,INSTITUTO CULTURAL AMERICANO,7A AVENIDA 4-11,22320426,MARIA FELICITA ROQUE CARRERA,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 2
1503,00-02-7079-46,,GUATEMALA,CIUDAD CAPITAL,CPUM COLEGIO MIXTO CRISTIANO EN COMPUTACION 'LAS AMERICAS',5A. CALLE 5-37,22324231,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 2
1504,00-02-7194-46,,GUATEMALA,CIUDAD CAPITAL,CPUM 'VERSALLES',7AV. 1-13,22384834,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 2
1505,00-02-7549-46,01-301,GUATEMALA,CIUDAD CAPITAL,COLEGIO DE ESTUDIOS COMERCIALES Y COMPUTACION,9A. AVE. 1-66,22542466,ERICK ESTUARDO SANCHEZ ARCHILA,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 2
1506,00-02-7736-46,01-301,GUATEMALA,CIUDAD CAPITAL,COLEGIO MIXTO BILINGUE NUEVO AMANECER,13 AVE. 10-20 CIUDAD NUEVA,22091616,ERICK ESTUARDO SANCHEZ ARCHILA,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 2
1507,00-02-7868-46,01-301,GUATEMALA,CIUDAD CAPITAL,COLEGIO 'SAN ANGEL',14 CALLE 11-06 CIUDAD NUEVA,22540214,ERICK ESTUARDO SANCHEZ ARCHILA,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 2
1508,00-02-7871-46,01-407,GUATEMALA,CIUDAD CAPITAL,COLEGIO SAN ANGEL,14 CALLE 11-06 CIUDAD NUEVA,22540314,CARLOS HUMBERTO GONZALEZ DE LEON,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE,ZONA 2
1509,00-02-7873-46,01-627,GUATEMALA,CIUDAD CAPITAL,COLEGIO SAN ANGEL (BACHILLERATO POR MADUREZ),14 CALLE 11-06 CIUDAD NUEVA,22540214,ISAURA AMPARO RECINOS CARRILLO,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE,ZONA 2
1510,00-02-8021-46,01-403,GUATEMALA,CIUDAD CAPITAL,COLEGIO MIXTO EN COMPUTACION MILENIUM,5A. CALLE 5-37,22204730,CARLOS HUMBERTO GONZALEZ DE LEON,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE,ZONA 2
1511,00-02-8257-46,01-403,GUATEMALA,CIUDAD CAPITAL,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),11 AVENIDA 18-45 CIUDAD NUEVA,24126666,CARLOS HUMBERTO GONZALEZ DE LEON,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,A DISTANCIA,GUATEMALA NORTE,ZONA 2
1512,00-02-8272-46,01-403,GUATEMALA,CIUDAD CAPITAL,COLEGIO MIXTO EN COMPUTACION MILENIUM (POR MADUREZ),5A. CALLE 5-37,41893313,CARLOS HUMBERTO GONZALEZ DE LEON,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE,ZONA 2
1513,00-02-8303-46,01-301,GUATEMALA,CIUDAD CAPITAL,LICEO 'CHAPERO',"13 AVENIDA 11-30, CIUDAD NUEVA",22700061,ERICK ESTUARDO SANCHEZ ARCHILA,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 2
1514,00-02-8406-46,01-102,GUATEMALA,CIUDAD CAPITAL,COLEGIO CATOLICO MIXTO 'LICEO TRINITARIO',11 AVENIDA 'A' 6-04,52552704,ZIZI ARELY LOPEZ CHINCHILLA,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 2
1515,00-02-8428-46,01-407,GUATEMALA,CIUDAD CAPITAL,INSTITUTO MIXTO PRIVADO 'JOSE ERNESTO MONZON',11 AVE. 'A' 6-04 CIUDAD NUEVA,22881328,CARLOS HUMBERTO GONZALEZ DE LEON,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,FIN DE SEMANA,GUATEMALA NORTE,ZONA 2
1516,00-02-8990-46,01-301,GUATEMALA,CIUDAD CAPITAL,LICEO COMERCIAL 'GAT-HEFER',2A. CALLE 11-58,22542009,ERICK ESTUARDO SANCHEZ ARCHILA,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 2
1517,00-02-9049-46,01-319,GUATEMALA,CIUDAD CAPITAL,COLEGIO MIXTO EN COMPUTACION MILENIUM,5A. CALLE 5-37,22204730,ISAURA AMPARO RECINOS CARRILLO,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 2
1518,00-02-9138-46,01-319,GUATEMALA,CIUDAD CAPITAL,LICEO TECNICO CONSTRUCTIVISTA,AVENIDA SIMEON CANAS 2-12,22208545,ISAURA AMPARO RECINOS CARRILLO,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 2
1519,00-02-9140-46,01-403,GUATEMALA,CIUDAD CAPITAL,LICEO TECNICO CONSTRUCTIVISTA (POR MADUREZ),AVENIDA SIMEON CANAS 2-12,22208545,CARLOS HUMBERTO GONZALEZ DE LEON,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE,ZONA 2
1520,00-02-9373-46,01-301,GUATEMALA,CIUDAD CAPITAL,COLEGIO MANANTIAL,"11 AVENIDA 11-56, CIUDAD NUEVA",22894901,ERICK ESTUARDO SANCHEZ ARCHILA,ETELVINA CARRILLO ALVAREZ DE XUYA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 2
1521,00-02-9802-46,99-001,GUATEMALA,CIUDAD CAPITAL,INSTITUTO DE ESTUDIOS COMERCIALES Y ADMINISTRATIVOS IECA,3A. AVE. 9-00,24111800,SILVIA EUGENIA VALDEZ MONTERROSO DE CARBALLO,,DIVERSIFICADO,PRIVADO,URBANA,TEMPORAL TITULOS,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 2
1522,00-02-9810-46,01-403,GUATEMALA,CIUDAD CAPITAL,LICEO TECNICO CONSTRUCTIVISTA,AVENIDA SIMEON CANAS 2-12,22208545,CARLOS HUMBERTO GONZALEZ DE LEON,MARIA ANTONIETA GARCIA AIFAN,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE,ZONA 2
1523,00-03-0007-46,01-302,GUATEMALA,CIUDAD CAPITAL,"COLEGIO MIXTO ""JESUS DEL CONSUELO""",4A. AVENIDA 25-11,24406290,HECTOR EDELMIRO FLORES BRINGUEZ,MARIO AUGUSTO ALFARO LOPEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 3
1524,00-03-0020-46,01-302,GUATEMALA,CIUDAD CAPITAL,COLEGIO CRISTIANO VIDA,3A. AVENIDA 26-61,24735908,HECTOR EDELMIRO FLORES BRINGUEZ,JOSE EDUARDO MARROQUIN Y MARROQUIN,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 3
1525,00-03-0021-46,01-627,GUATEMALA,CIUDAD CAPITAL,COLEGIO MIXTO JESUS DEL CONSUELO,4A. AVENIDA 25-11,24717132,ISAURA AMPARO RECINOS CARRILLO,ZOILA ROCXANA VILLATORO LOPEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE,ZONA 3
1526,00-03-0022-46,01-627,GUATEMALA,CIUDAD CAPITAL,COLEGIO MIXTO JESUS DEL CONSUELO,4A. AVENIDA 25-11,24717132,ISAURA AMPARO RECINOS CARRILLO,ZOILA ROCXANA VILLATORO LOPEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE,ZONA 3
1527,00-03-0029-46,01-403,GUATEMALA,CIUDAD CAPITAL,INSTITUTO NACIONAL DE EDUCACION BASICA Y DIVERSIFICADO NOCTURNO,6A AVENIDA 27-36,24754027,CARLOS HUMBERTO GONZALEZ DE LEON,JESUS ANTONIO AGUILAR MARTINEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 3
1528,00-03-0035-46,01-302,GUATEMALA,CIUDAD CAPITAL,"LICEO TECNOLOGICO ""EL HOGAR""",6A. AVENIDA 38-64,24751926,HECTOR EDELMIRO FLORES BRINGUEZ,LILIAN JEANNETTE DIAZ AGUIRRE,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 3
1529,00-03-0036-46,01-302,GUATEMALA,CIUDAD CAPITAL,"COLEGIO ""JUNKABAL""",6A. AVENIDA 31-29,24629300,HECTOR EDELMIRO FLORES BRINGUEZ,BLANCA MARGARITA SOLORZANO ESTRADA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 3
1530,00-03-0037-46,01-302,GUATEMALA,CIUDAD CAPITAL,"COLEGIO EVANGELICO MIXTO ""FRANCISCO G. PENZOTTI""",4A. AVENIDA 31-49,24402064,HECTOR EDELMIRO FLORES BRINGUEZ,CARLOS HILGAR VELASQUEZ PACHECO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 3
1531,00-03-0045-46,01-302,GUATEMALA,CIUDAD CAPITAL,COLEGIO MESOAMERICA,7A. AVENIDA 30-47 ZONA 3,40828626,HECTOR EDELMIRO FLORES BRINGUEZ,PEM. NIXON AROLDO MENDEZ ROJAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 3
1532,00-03-0046-46,01-618,GUATEMALA,CIUDAD CAPITAL,FUNDACION AMG INTERNACIONAL (AVANCE DEL MINISTERIO DEL EVANGELIO),14 AVENIDA 36-09,30390425,ROSA GEORGINA RIOS CASTILLO,LIGIA CRISTABEL GUEVARA COL DE SANTA MARIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 3
1533,00-03-0364-46,,GUATEMALA,CIUDAD CAPITAL,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA 'CENTRO PROFESIONAL DE COMPUTACION',AVE. ELENA 19-48,,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 3
1534,00-03-0365-46,01-,GUATEMALA,CIUDAD CAPITAL,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA ESCUELA NORMAL JUANA DE ARCO,14 CALLE C 4-40,,MARIA FELICITA ROQUE CARRERA,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 3
1535,00-03-0366-46,01-302,GUATEMALA,CIUDAD CAPITAL,INSTITUTO PRIVADO PARA SENORITAS DE EDUCACION DIVERSIFICADA ACADEMIA DE EDUCACION FEMENINA EL HOGAR,AVE BOLIVAR 38-70,24751925,HECTOR EDELMIRO FLORES BRINGUEZ,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 3
1536,00-03-0368-46,01-102,GUATEMALA,CIUDAD CAPITAL,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA CENTRO PROFESIONAL DE COMPUTACION,19 CALLE 0-53,,ZIZI ARELY LOPEZ CHINCHILLA,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 3
1537,00-03-0370-46,01-,GUATEMALA,CIUDAD CAPITAL,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA GUATEMALTECO,AVENIDA BOLIVAR 30-00,22515412,MARIA FELICITA ROQUE CARRERA,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 3
1538,00-03-2909-46,,GUATEMALA,CIUDAD CAPITAL,COLEGIO MIXTO CRISTIANO GUATEMALTECO,13 CALLE 2-14,,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,INTERMEDIA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 3
1539,00-03-2910-46,01-101,GUATEMALA,CIUDAD CAPITAL,INSTITUTO MIXTO GUATEMALTECO,AVENIDA BOLIVAR 30-00,22515412,MARIA ESTELA MARROQUIN CHUR DE ORTEGA,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 3
1540,00-03-2911-46,01-302,GUATEMALA,CIUDAD CAPITAL,COLEGIO EVANGELICO MIXTO 'FRANCISCO G. PENZOTTI',4A. AVE. 31-49,24401864,HECTOR EDELMIRO FLORES BRINGUEZ,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 3
1541,00-03-3099-46,01-627,GUATEMALA,CIUDAD CAPITAL,COLEGIO EVANGELICO DE LAS ASAMBLEAS DE DIOS,28 CALLE 0-52,78398532,ISAURA AMPARO RECINOS CARRILLO,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE,ZONA 3
1542,00-03-4639-46,,GUATEMALA,CIUDAD CAPITAL,COLEGIO MIXTO 'CRISTIANO GUATEMALTECO',"13 CALLE 20-30, ZONA 1",,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 3
1543,00-03-6938-46,,GUATEMALA,CIUDAD CAPITAL,EPUM 'CRISTIANA VIDA',3A. AV. 27-40,,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 3
1544,00-03-7038-46,,GUATEMALA,CIUDAD CAPITAL,EPUM CRISTIANA 'VIDA',3A. AVE. 27-40,,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 3
1545,00-03-7144-46,,GUATEMALA,CIUDAD CAPITAL,EPRM CRISTIANA 'VIDA',3A. AVENIDA 26-61,,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 3
1546,00-03-7569-46,,GUATEMALA,CIUDAD CAPITAL,INSTITUTO MIXTO GUATEMALTECO,AV. ELENA 23-20,22515412,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 3
1547,00-03-7605-46,01-302,GUATEMALA,CIUDAD CAPITAL,LICEO BRASILENO,20 CALLE 3-30,22517920,HECTOR EDELMIRO FLORES BRINGUEZ,MARVIN DAVID RUANO MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 3
1548,00-03-7607-46,01-403,GUATEMALA,CIUDAD CAPITAL,LICEO BRASILENO,20 CALLE 3-30,22517920,CARLOS HUMBERTO GONZALEZ DE LEON,AMANDA MARIA DEL SOCORRO GUZMAN GOMEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE,ZONA 3
1549,00-03-7621-46,,GUATEMALA,CIUDAD CAPITAL,COLEGIO MIXTO SUPERIOR UNIVERSAL,AV. BOLIVAR 38-70,24715576,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE,ZONA 3
1550,00-03-8227-46,01-302,GUATEMALA,CIUDAD CAPITAL,LICEO MARIANO GALVEZ,17 CALLE 4-03,22306679,HECTOR EDELMIRO FLORES BRINGUEZ,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE,ZONA 3
